name_old,name_new,class_old,class_new,value_old,value_new,missings,recodes
x5,x5,numeric,numeric,.,.,<= -999,
x5,x5i,numeric,integer,,,<= -999,
x5,x5f,numeric,factor,,,<= -999,
x5,x5o,numeric,ordered,,,<= -999,
x5,x5l,numeric,logical,,,<= -999,"ifelse(x < 0.1, TRUE, FALSE)"
x4,x4,integer,integer,.,.,>= 999,
x3,x3,ordered,ordered,lo<med<hi,lo<mid<mid,,
x2,x2,character,ordered,f|d|c|b|a|NA,f<d<c<b<a<great,,
x1,x1o,factor,ordered,cindy|bobby|peter|marcia|greg,Cindy<Bobby<Peter<Marcia<Greg,,
x1,x1o2,factor,ordered,cindy|marcia,Cindy|Marcia,,
x1,x1i,factor,integer,cindy|bobby|peter|marcia|greg,1|2|3|4|5,,
x1,x1n,factor,numeric,cindy|bobby|peter|marcia|greg,1.1|2.4|3.01|4.4|5.5|,,
x1,x1f2,factor,factor,cindy|bobby,Cindy<Bobby,,
x1,x1f3,factor,ordered,peter|greg,Peter|Greg,,
x1,x1i2,factor,integer,cindy|bobby|peter|marcia|greg,100|200|250|400|500,,
x7,x7,ordered,ordered,f<d<c<b<a,fail<fail<pass<pass<pass,,
x6,x6,integer,ordered,1|2|3|4|5,F<D<C<B<A,,
