"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"x5","x5","numeric","numeric","","","",""
"x4","x4","numeric","numeric","","","",""
"x3","x3","ordered","ordered","med","med","",""
"x3","x3","ordered","ordered","lo","lo","",""
"x3","x3","ordered","ordered","hi","hi","",""
"x2","x2","character","character","a","a","",""
"x2","x2","character","character","b","b","",""
"x2","x2","character","character","c","c","",""
"x2","x2","character","character","d","d","",""
"x2","x2","character","character","f","f","",""
"x1","x1","factor","factor","bobby","bobby","",""
"x1","x1","factor","factor","cindy","cindy","",""
"x1","x1","factor","factor","greg","greg","",""
"x1","x1","factor","factor","marcia","marcia","",""
"x1","x1","factor","factor","peter","peter","",""
"x7","x7","ordered","ordered","a","a","",""
"x7","x7","ordered","ordered","b","b","",""
"x7","x7","ordered","ordered","c","c","",""
"x7","x7","ordered","ordered","d","d","",""
"x7","x7","ordered","ordered","f","f","",""
"x6","x6","integer","integer","1","1","",""
"x6","x6","integer","integer","2","2","",""
"x6","x6","integer","integer","3","3","",""
"x6","x6","integer","integer","4","4","",""
"x6","x6","integer","integer","5","5","",""
