R0000100,R0003300,R0005700,R0060300,R1051600,R1302000,R1302100,R1303400,R6235600,R6502300,R6513700,R6516200,R6520300,R6553600,R7289200,R7289400,R7293430,R7312300,R7329900,R7330000,R7337600,R7344600,R7344700,R7347500,R7347600,R7347700,R7477700,R7477800,R7610300
5148,6,-4,111,-4,0,-4,-4,12,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5149,6,18,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5150,6,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5151,6,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5153,6,-4,-4,-4,0,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5154,1,20,111,14,0,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5155,6,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5158,1,18,-4,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
72,6,-4,106,-4,-5,-5,-5,12,14,51,4,-4,-4,0,-4,641,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
80,1,20,111,-4,1,12,1,-5,-4,60,1,10,-4,1,1,429,-4,2,-1,-4,-4,-4,-4,-4,-4,-4,-4,0
94,6,16,-4,-4,0,-4,2,10,-4,57,6,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
111,1,12,-4,-4,0,-4,-4,9,-4,60,1,4,-4,0,-4,514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
139,1,16,81,-4,0,-4,-4,-5,-4,59,3,-4,-4,0,-4,373,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
145,6,-4,999,-4,-5,-5,-5,-5,-4,51,6,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
158,6,17,108,-4,0,-4,-4,-5,-4,56,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
161,1,16,-4,-5,-5,-5,-5,8,-4,54,4,-4,-4,0,-4,711,-4,6,1000,-4,4,0,-4,-4,-4,-4,-4,0
300,6,-4,118,-4,0,-4,10,16,-4,52,1,6,-4,0,1,469,35000,4,50000,-4,1,0,2500,5000,2500,-4,-4,0
483,1,17,119,-4,0,-4,-4,12,-4,57,1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
736,6,-4,117,-4,0,-4,4,17,-4,58,1,10,-4,0,-4,459,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
737,6,-4,125,-4,0,-4,4,18,-4,56,1,10,-4,0,1,418,43000,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
826,6,17,134,-5,0,-4,10,12,-4,55,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
831,4,17,102,-4,0,-4,1,-5,-4,58,3,-4,-4,0,-4,373,-4,4,5760,-4,1,0,0,0,0,-4,-4,0
937,6,-4,96,-4,-5,-5,-5,-5,-4,54,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1055,6,-4,112,-4,0,-4,3,16,-4,59,1,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1060,6,18,121,-4,0,-4,-4,12,-4,55,1,4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1068,1,18,100,-4,0,-4,8,14,-4,58,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1077,6,-4,-4,-4,-5,-5,-5,-5,-4,51,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1080,1,-4,-4,-4,0,-4,-4,-5,-4,50,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
1082,6,-4,81,-4,0,-4,1,12,-4,53,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
