name_old,name_new,class_old,class_new,value_old,value_new,missings,recodes
varL,varLL,logical,logical,FALSE|TRUE,TRUE|FALSE,,
varL,varLI1,logical,integer,FALSE|TRUE,,,
varL,varLI2,logical,integer,FALSE|TRUE,0|1,,
varL,varLN1,logical,numeric,FALSE|TRUE,,,
varL,varLN2,logical,numeric,FALSE|TRUE,-0.5|0.5,,
varL,varLF1,logical,factor,FALSE|TRUE,,,
varL,varLF2,logical,factor,TRUE|FALSE,yes|no,,
varL,varLO1,logical,ordered,FALSE|TRUE,,,
varL,varLO2,logical,ordered,FALSE|TRUE,fail<pass,,
varL,varLC1,logical,character,FALSE|TRUE,,,
varL,varLC2,logical,character,FALSE|TRUE,A|B,,
varI1,varII,integer,integer,0|1|2|3|4|5|6|7|11|999,0|1|2|3|4|5|6|7|11|999,>=999,
varI1,varIL1,integer,logical,0|1|2|3|4|5|6|7|11|999,,>=999,
varI2,varIL2,integer,logical,1|2|3|4|5,T|F|F|F|F,,
varI1,varIN1,integer,numeric,0|1|2|3|4|5|6|7|11|999,,>=999,
varI2,varIN2,integer,numeric,1|2|3|4|5,1|1.5|2|2.5|3,,
varI2,varIF1,integer,factor,1|2|3|4|5,,,
varI2,varIF2,integer,factor,1|2|3|4|5,nonHOV|nonHOV|HOV|HOV|HOV,,
varI2,varIO1,integer,ordered,1|2|3|4|5,,,
varI2,varIO2,integer,ordered,1|2|3|4|5,unfavorable<slightlyUnfavorable<neutral<slightlyFavorable<favorable,,
varI1,varIC1,integer,character,0|1|2|3|4|5|6|7|11|999,,>=999,
varI2,varIC2,integer,character,1|2|3|4|5,a|b|c|d|f,,
varN1,varNN,numeric,numeric,,,<=-999,
varN2,varNL1,numeric,logical,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varN2,varNL2,numeric,logical,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,F|F|F|F|F|T|T|T|T|T|T,,
varN2,varNI1,numeric,integer,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varN2,varNI2,numeric,integer,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,0|0|0|0|0|1|1|1|1|1|1,,
varN2,varNF1,numeric,factor,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varN2,varNF2,numeric,factor,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,Q1|Q1|Q1|Q2|Q2|Q3|Q3|Q4|Q4|Q5|Q5,,
varN2,varNO1,numeric,ordered,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varN2,varNO2,numeric,ordered,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,lower<lower<lower<lower<lower<middle<middle<middle<middle<upper<upper,,
varN1,varNC1,numeric,character,,,<=-999,
varN2,varNC2,numeric,character,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,A|B|C|D|E|F|G|H|I|J|K,,
varF1,varFL1,factor,logical,yes|no,,,
varF1,varFL2,factor,logical,yes|no,T|F,,
varF1,varFI1,factor,integer,yes|no,,,
varF1,varFI2,factor,integer,yes|no,1|0,,
varF2,varFN1,factor,numeric,hi|lo|med,,,
varF2,varFN2,factor,numeric,hi|lo|med,0.5|-0.5|0,,
varF3,varFF,factor,factor,a|b|c|d|f,P|P|P|P|F,,
varF2,varFO1,factor,ordered,hi|lo|med,,,
varF2,varFO2,factor,ordered,lo|med|hi,low<mid<high,,
varF4,varFC1,factor,character,bobby|cindy|greg|marcia|peter,,,
varF4,varFC2,factor,character,bobby|cindy|greg|marcia|peter,Bobby|Cindy|Greg|Marcia|Peter,,
varO1,varOL1,ordered,logical,1<3<5,,,
varO1,varOL2,ordered,logical,1<3<5,F|T|T,,
varO1,varOI1,ordered,integer,1<3<5,,,
varO1,varOI2,ordered,integer,1<3<5,1|3|5,,
varO1,varON1,ordered,numeric,1<3<5,,,
varO1,varON2,ordered,numeric,1<3<5,1|3|5,,
varO1,varOF1,ordered,factor,1<3<5,,,
varO1,varOF2,ordered,factor,1<3<5,A|B|C,,
varO1,varOO,ordered,ordered,1<3<5,low<mid<high,,
varO1,varOC1,ordered,character,1<3<5,,,
varO1,varOC2,ordered,character,1<3<5,1|5|7,,
varC1,varCL1,character,logical,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varC1,varCL2,character,logical,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,F|F|F|F|F|T|T|T|T|T|T,,
varC1,varCI1,character,integer,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varC1,varCI2,character,integer,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,0|0|0|0|0|1|1|1|1|1|1,,
varC1,varCN1,character,numeric,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varC1,varCN2,character,numeric,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,-0.5|-0.4|-0.3|-0.2|-0.1|0|0.1|0.2|0.3|0.4|0.5,,
varC1,varCF1,character,factor,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varC1,varCF2,character,factor,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,X|X|X|X|Y|Y|Y|Y|Z|Z|Z,,
varC1,varCO1,character,ordered,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,,,
varC1,varCO2,character,ordered,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,F<F<F<F<F<F<D<C<B<A<A,,
varC1,varCC,character,character,0|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1,a|b|c|d|e|f|g|h|i|j|k,,
