"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"R0000100","id","integer","integer","","","<0",""
"R0003300","marital","integer","factor","1","Married","",""
"R0003300","marital","integer","factor","2","Married (sp absent)","",""
"R0003300","marital","integer","factor","3","Widowed","",""
"R0003300","marital","integer","factor","4","Divorced","",""
"R0003300","marital","integer","factor","5","Separated","",""
"R0003300","marital","integer","factor","6","Never Married","",""
"R0005700","schoolstopage","integer","integer","","","<5",""
"R0060300","iq","integer","integer","","","<0",""
"R1051600","schoollastgrade85","integer","integer","","","<0",""
"R1302000","smoke91","integer","factor","-5","NA","",""
"R1302000","smoke91","integer","factor","-4","NA","",""
"R1302000","smoke91","integer","factor","0","No","",""
"R1302000","smoke91","integer","factor","1","Yes","",""
"R1302100","smokenum91","integer","integer","","","<0",""
"R1303400","alchdays91","integer","integer","","","<0",""
"R6235600","schoollastgrade01","integer","integer","","","<0",""
"R6502300","residence","integer","factor","-4","NA","",""
"R6502300","residence","integer","factor","1","Home","",""
"R6502300","residence","integer","factor","3","Hotel","",""
"R6502300","residence","integer","factor","14","Other","",""
"R6513700","age","integer","integer","","","<0",""
"R6516200","martial03","integer","factor","-5","NA","<0",""
"R6516200","martial03","integer","factor","1","Married","",""
"R6516200","martial03","integer","factor","3","Widowed","",""
"R6516200","martial03","integer","factor","4","Divorced","",""
"R6516200","martial03","integer","factor","5","Separated","",""
"R6516200","martial03","integer","factor","6","Never Married","",""
"R6520300","schoolhusbandgrade","factor","factor","-5","-5","",""
"R6520300","R6520300","integer","factor","-4","NA","",""
"R6520300","R6520300","integer","factor","-2","NA","",""
"R6520300","R6520300","integer","factor","-1","NA","",""
"R6520300","R6520300","integer","factor","1","9th","",""
"R6520300","R6520300","integer","factor","2","10th","",""
"R6520300","R6520300","integer","factor","3","11th","",""
"R6520300","R6520300","integer","factor","4","12th","",""
"R6520300","R6520300","integer","factor","5","1yr College","",""
"R6520300","R6520300","integer","factor","6","2yr College","",""
"R6520300","R6520300","integer","factor","7","3yr College","",""
"R6520300","R6520300","integer","factor","8","4yr College","",""
"R6520300","R6520300","integer","factor","9","5yr College","",""
"R6520300","R6520300","integer","factor","10","6yr College","",""
"R6520300","R6520300","integer","factor","11","Nondegree","",""
"R6553600","schoolpartnergrade","integer","factor","-5","NA","<0",""
"R6553600","schoolpartnergrade","integer","factor","-4","NA","",""
"R6553600","schoolpartnergrade","integer","factor","-2","NA","",""
"R6553600","schoolpartnergrade","integer","factor","-1","NA","",""
"R6553600","schoolpartnergrade","integer","factor","4","12th","",""
"R6553600","schoolpartnergrade","integer","factor","5","1yr College","",""
"R6553600","schoolpartnergrade","integer","factor","6","2yr College","",""
"R6553600","schoolpartnergrade","integer","factor","7","4yr College","",""
"R6553600","schoolpartnergrade","integer","factor","8","4yr College","",""
"R6553600","schoolpartnergrade","integer","factor","11","Nondegree","",""
"R7289200","smoke03","integer","factor","-5","NA","<0",""
"R7289200","smoke03","integer","factor","-4","NA","",""
"R7289200","smoke03","integer","factor","-2","NA","",""
"R7289200","smoke03","integer","factor","-1","NA","",""
"R7289200","smoke03","integer","factor","0","No","",""
"R7289200","smoke03","integer","factor","1","Yes","",""
"R7289400","alcohol03","integer","factor","-5","NA","<0",""
"R7289400","alcohol03","integer","factor","-4","NA","",""
"R7289400","alcohol03","integer","factor","-2","NA","",""
"R7289400","alcohol03","integer","factor","0","No","",""
"R7289400","alcohol03","integer","factor","1","Yes","",""
"R7293430","cesd_irt_score","integer","integer","","","<0",""
"R7312300","income03","integer","integer","","","<0",""
"R7329900","incomehappy03","integer","factor","-5","NA","<0",""
"R7329900","incomehappy03","integer","factor","-4","NA","",""
"R7329900","incomehappy03","integer","factor","-2","NA","",""
"R7329900","incomehappy03","integer","factor","-1","NA","",""
"R7329900","incomehappy03","integer","factor","1","Extremely Happy","",""
"R7329900","incomehappy03","integer","factor","2","Very Happy","",""
"R7329900","incomehappy03","integer","factor","3","Somewhat Happy","",""
"R7329900","incomehappy03","integer","factor","4","Neither Happy nor Unhappy","",""
"R7329900","incomehappy03","integer","factor","5","Somewhat Unhappy","",""
"R7329900","incomehappy03","integer","factor","6","Very Unhappy","",""
"R7329900","incomehappy03","integer","factor","7","Extremely Unhappy","",""
"R7330000","incomeneed03","integer","integer","","","<0",""
"R7337600","school2yrcoll","integer","factor","-5","NA","<0",""
"R7337600","school2yrcoll","integer","factor","-4","NA","",""
"R7337600","school2yrcoll","integer","factor","0","No","",""
"R7337600","school2yrcoll","integer","factor","1","Yes","",""
"R7344600","feelings03","integer","factor","-5","NA","<0",""
